1,USA,California
2,USA,Texas
3,USA,New York
4,Canada,Ontario
5,Canada,Quebec
6,Canada,British Columbia
7,UK,England
8,UK,Scotland
9,UK,Wales
10,Germany,Bavaria
11,Germany,Berlin
12,Germany,Hesse
13,France,Île-de-France
14,France,Provence-Alpes-Côte
15,France,Nouvelle-Aquitaine
16,India,Maharashtra
17,India,Karnataka
18,India,Tamil Nadu
19,Australia,New South Wales
20,Australia,Victoria
21,Australia,Queensland
22,Brazil,São Paulo
23,Brazil,Rio de Janeiro
24,Brazil,Bahia
25,Japan,Tokyo
26,Japan,Osaka
27,Japan,Hokkaido
28,Mexico,Mexico City
29,Mexico,Jalisco
30,Mexico,Nuevo León
31,South Africa,Gauteng
32,South Africa,Western Cape
33,South Africa,KwaZulu-Natal
34,Russia,Moscow
35,Russia,Saint Petersburg
36,Russia,Novosibirsk
37,Italy,Lombardy
38,Italy,Lazio
39,Italy,Sicily
40,Spain,Catalonia
41,Spain,Madrid
42,Spain,Andalusia
43,China,Beijing
44,China,Shanghai
45,China,Guangdong
46,Netherlands,North Holland
47,Netherlands,South Holland
48,Netherlands,Utrecht
49,Sweden,Stockholm
50,Sweden,Västra Götaland
51,USA,Florida
52,USA,Illinois
53,Canada,Alberta
54,Canada,Nova Scotia
55,UK,Northern Ireland
56,Germany,Saxony
57,France,Brittany
58,India,Gujarat
59,India,Punjab
60,Australia,South Australia
61,Brazil,Paraná
62,Brazil,Minas Gerais
63,Japan,Kyoto
64,Mexico,Chiapas
65,South Africa,Eastern Cape
66,Russia,Tatarstan
67,Italy,Veneto
68,Spain,Valencia
69,China,Sichuan
70,Netherlands,Gelderland
71,Sweden,Skåne
72,USA,Michigan
73,USA,Ohio
74,Canada,Manitoba
75,UK,Yorkshire
76,Germany,Hamburg
77,France,Normandy
78,India,Rajasthan
79,Australia,Tasmania
80,Brazil,Ceará
81,Japan,Hiroshima
82,Mexico,Nuevo León
83,South Africa,Limpopo
84,Russia,Krasnodar
85,Italy,Piedmont
86,Spain,Galicia
87,China,Shandong
88,Netherlands,Friesland
89,Sweden,Västmanland
90,USA,Georgia
91,USA,North Carolina
92,Canada,Saskatchewan
93,UK,East Midlands
94,Germany,Baden-Württemberg
95,France,Occitanie
96,India,Kerala
97,Australia,Western Australia
98,Brazil,Rio Grande do Sul
99,Japan,Fukuoka
100,Mexico,Jalisco
